NAME,yyyymmddhh,PS01,TX01,TX05,RH01,RH02,WD01,WD02,PP01,PP02,RI,RI_pre
WP19,2009092912,996.2,32.4,22.5,56,27.2,2.4,200,0,0,45,45
WP19,2009092918,997.3,27.2,22.1,74,26.6,2.5,210,0,0.1,50,30
WP20,2009093000,999.5,27.1,23.6,81,29.1,0.5,120,0,0,30,45
WP22,2009101606,1003.2,23.8,20.1,80,23.5,1.2,320,0,0,30,30
WP26,2009112306,1007.7,18.5,15.6,83,17.7,1.7,50,0,0,30,60
WP26,2009112318,1005.2,22.4,18.4,78,21.2,1.3,360,0,0,30,75
WP26,2009112400,1006.4,20.2,18,87,20.6,0.3,70,0,0,45,55
WP26,2009112406,1006,20.7,18,85,20.6,1.2,40,0,0,60,30
WP15,2010101518,1002.9,24.8,19.6,73,22.8,2.9,30,0,0,35,35
WP04,2011052406,999,23.8,22.3,91,26.9,0,0,0,0,40,35
WP08,2011071212,994.4,29.8,23.4,69,28.8,1.8,270,0,0,30,30
WP11,2011072906,996.8,27.1,23.8,82,29.5,0.4,90,0,0,35,55
WP14,2011082406,998,27.2,23.1,78,28.3,0.4,130,0,0,30,55
WP14,2011082412,997.3,31.6,23.6,63,29.1,1.4,300,0,0,35,45
WP22,2011092906,999.2,25.6,22.3,82,26.9,0.3,120,0,0,35,30
WP09,2012072212,992.1,28.5,24.7,80,31.1,1.9,360,0,0.3,35,35
WP17,2012091118,999,30.3,22.2,62,26.8,0.7,290,0,0,35,75
WP17,2012091200,1001,27.1,23.3,80,28.6,0.5,210,0,0,40,60
WP17,2012091206,1000.2,26.4,22.9,81,27.9,0.1,0,0,0,55,40
WP26,2012112918,1004.4,19.7,16.3,81,18.5,2.1,350,0.2,1,40,35
WP07,2013070800,1003.4,24,21.7,87,26,0.4,100,0,0,40,50
WP07,2013070806,1003.5,24.2,20.7,81,24.4,0.4,170,0,0,40,40
WP11,2013080912,999.5,33.6,21.9,50,26.3,2.8,200,0,0,55,40
WP11,2013080918,998.8,31.3,22,58,26.4,1.7,210,0,0,45,40
WP11,2013081000,1000.7,28.2,21.4,67,25.5,0.4,110,0,0,40,35
WP17,2013091706,998.6,25.5,16.8,59,19.1,0.8,50,0,0,30,60
WP17,2013091712,998.1,30,22.2,63,26.8,1.2,230,0,0,35,60
WP17,2013091718,997.1,30,20.9,58,24.7,1.5,330,0,0,40,45
WP17,2013091800,998.7,26,21.8,78,26.1,0.3,100,0,0,45,40
WP23,2013100506,998.5,21,17.8,82,20.4,0.1,0,0,0,35,30
WP26,2013101612,1006.5,27,13.4,43,15.4,4.2,360,0,0,55,35
WP28,2013102100,1003.9,23,17,69,19.4,2,10,0,0,45,50
WP28,2013102106,1003.5,22.4,17,72,19.4,2.4,10,0,0,55,35
WP31,2013110400,1006,23.7,19.7,78,22.9,1.6,10,0,0,35,60
WP31,2013110406,1006.3,22.8,18.7,78,21.6,2,360,0,0,35,60
WP31,2013110412,1006.2,27.1,19.7,64,22.9,2.1,360,0,0,45,60
WP31,2013110418,1006.1,24.5,18,67,20.6,2.8,360,0,0,55,45
WP08,2014070312,995,33.2,25.2,63,32.1,2.1,240,0,0,30,55
WP08,2014070400,995.7,28.8,23.9,75,29.7,1.7,210,0,0,45,30
WP09,2014071306,1000.9,28.3,23.1,73,28.3,1.1,150,0,0,30,35
WP11,2014080100,991.2,28.6,25.8,85,33.2,2.3,230,0,0,45,40
WP19,2014100606,1003.8,21.8,15.3,67,17.4,0.6,30,0,0,35,30
WP20,2014103106,1004.6,23,21,89,24.9,0.3,220,0,0,30,60
WP20,2014103112,1004.1,28.6,21.6,66,25.8,1,200,0,0,30,75
WP20,2014103118,1002.4,25.7,21,75,24.9,0.7,330,0,0,35,75
WP20,2014110100,1003.6,23.5,20.9,85,24.7,0.5,140,0,0,45,55
WP20,2014110106,1003.6,22.5,20.7,90,24.4,0.1,0,0,0,60,35
WP22,2014120112,1003.2,23.3,15.2,60,17.3,3.4,350,0,0,30,40
WP22,2014120118,1005,18.9,12.8,68,14.8,1.9,310,0,0,40,45
WP22,2014120200,1006.8,15.9,12.6,81,14.6,1.8,310,0.1,0.2,35,65
WP22,2014120206,1009.7,14.3,11.8,85,13.8,2.3,360,0.6,1,40,55
WP22,2014120212,1008.9,17.6,12.6,72,14.6,2,360,0,0,40,45
WP02,2015020900,1011.8,12,5.1,63,8.8,3.7,360,0,0,35,30
WP11,2015070512,991.7,32,25.7,69,33,2,290,0,0,30,45
